	topicCategory	_id
0	Behavioral Research	pmid32389148
0	Behavioral Research	pmid33193767
0	Behavioral Research	pmid32704298
0	Behavioral Research	pmid34002465
0	Behavioral Research	pmid34134493
0	Behavioral Research	pmid34118841
0	Behavioral Research	pmid33024072
0	Behavioral Research	pmid33799046
0	Behavioral Research	pmid33082197
0	Behavioral Research	pmid32663330
0	Behavioral Research	pmid34138597
0	Behavioral Research	pmid33661878
0	Behavioral Research	pmid33154711
0	Behavioral Research	pmid34110951
0	Behavioral Research	pmid32363351
0	Behavioral Research	pmid33774085
0	Behavioral Research	pmid33912402
0	Behavioral Research	pmid33588226
0	Behavioral Research	pmid32653391
0	Behavioral Research	pmid33287780
0	Behavioral Research	pmid32980318
0	Behavioral Research	pmid33387744
0	Behavioral Research	pmid33185174
0	Behavioral Research	pmid33062202
0	Behavioral Research	pmid32304092
0	Behavioral Research	pmid32326997
0	Behavioral Research	pmid32815855
0	Behavioral Research	pmid32609353
0	Behavioral Research	pmid33078024
0	Behavioral Research	pmid32666713
0	Behavioral Research	pmid33305891
0	Behavioral Research	pmid33520144
0	Behavioral Research	pmid34097206
0	Behavioral Research	pmid33962141
0	Behavioral Research	pmid33815198
0	Behavioral Research	pmid33408210
0	Behavioral Research	pmid33192854
0	Behavioral Research	pmid32533874
0	Behavioral Research	pmid32970639
0	Behavioral Research	pmid33319496
0	Behavioral Research	pmid34026362
0	Behavioral Research	pmid33257043
0	Behavioral Research	pmid32766545
0	Behavioral Research	pmid33778970
0	Behavioral Research	pmid32843485
0	Behavioral Research	pmid34113277
0	Behavioral Research	pmid33009366
0	Behavioral Research	pmid33163628
0	Behavioral Research	pmid33775208
0	Behavioral Research	pmid33421864
0	Behavioral Research	pmid34097555
0	Behavioral Research	pmid32951884
0	Behavioral Research	pmid33603379
0	Behavioral Research	pmid33941756
0	Behavioral Research	pmid33519645
0	Behavioral Research	pmid33687343
0	Behavioral Research	pmid32709980
0	Behavioral Research	pmid33149594
0	Behavioral Research	pmid32948511
0	Behavioral Research	pmid32590254
0	Behavioral Research	pmid32900515
0	Behavioral Research	pmid33300751
0	Behavioral Research	pmid32718855
0	Behavioral Research	pmid33730197
0	Behavioral Research	pmid32767827
0	Behavioral Research	pmid32861098
0	Behavioral Research	pmid33254205
0	Behavioral Research	pmid32132521
0	Behavioral Research	pmid33173525
0	Behavioral Research	pmid33678401
0	Behavioral Research	pmid32861835
0	Behavioral Research	pmid34017278
0	Behavioral Research	pmid33158839
0	Behavioral Research	pmid33472787
0	Behavioral Research	pmid33452116
0	Behavioral Research	pmid33946179
0	Behavioral Research	pmid32593614
0	Behavioral Research	pmid34135820
0	Behavioral Research	pmid33643082
0	Behavioral Research	pmid33999501
0	Behavioral Research	pmid34164228
0	Behavioral Research	pmid32523926
0	Behavioral Research	pmid32907692
0	Behavioral Research	pmid33647353
0	Behavioral Research	pmid32936769
0	Behavioral Research	pmid32803472
0	Behavioral Research	pmid32772053
0	Behavioral Research	pmid32194290
0	Behavioral Research	pmid32871694
0	Behavioral Research	pmid33841197
0	Behavioral Research	pmid33198962
0	Behavioral Research	pmid33141483
0	Behavioral Research	pmid34099997
0	Behavioral Research	pmid33227074
0	Behavioral Research	pmid33131192
0	Behavioral Research	pmid33412491
0	Behavioral Research	pmid33052727
0	Behavioral Research	pmid33833177
0	Behavioral Research	pmid33967841
0	Behavioral Research	pmid34123986
0	Behavioral Research	pmid33242276
0	Behavioral Research	pmid33007629
0	Behavioral Research	pmid32315967
0	Behavioral Research	pmid32479798
1	Behavioral Research	pmid34119326
1	Behavioral Research	pmid33236770
1	Behavioral Research	pmid32589149
1	Behavioral Research	pmid34116623
1	Behavioral Research	pmid33776822
1	Behavioral Research	pmid32854983
1	Behavioral Research	pmid32344333
