	_id	name	date	lineages
7	pmid32768709	Panic buying or good adherence? Increased pharmacy purchases of drugs from wholesalers in the last week prior to Covid-19 lockdown.	2020-07-01 00:00:00	sars-cov-2 beta variant
66	2020.06.15.152157	Novel ACE2-IgG1 fusions with increased activity against SARS-CoV-2	2020-06-15 00:00:00	sars-cov-2 gamma variant
74	2020.08.16.20176107	Longitudinal SARS-CoV-2 serosurveillance of over ten thousand health care workers in the Providence Oregon cohort.	2020-08-18 00:00:00	sars-cov-2 kappa variant
10	pmid33711659	Comparison of air pollutants and their health effects in two developed regions in China during the COVID-19 pandemic.	2021-02-22 00:00:00	sars-cov-2 delta variant
19	pmid33626380	The ORF8 Protein of SARS-CoV-2 Induced Endoplasmic Reticulum Stress and Mediated Immune Evasion by Antagonizing Production of Interferon Beta.	2021-02-16 00:00:00	sars-cov-2 beta variant
84	2020.12.01.20241349	Performance of saliva specimens for the molecular detection of SARS-CoV-2 in the community setting: does sample collection method matter?	2020-12-02 00:00:00	sars-cov-2 kappa variant
10	2020.09.11.20192401	Anakinra and Intravenous IgG versus Tocilizumab in the Treatment of COVID-19 Pneumonia	2020-09-13 00:00:00	sars-cov-2 beta variant
30	pmid32950697	Substitutions in Spike and Nucleocapsid proteins of SARS-CoV-2 circulating in South America.	2020-08-31 00:00:00	sars-cov-2 beta variant
59	pmid33110068	Structural basis for potent neutralization of SARS-CoV-2 and role of antibody affinity maturation.	2020-12-18 00:00:00	sars-cov-2 beta variant
79	pmid33052918	Power-law population heterogeneity governs epidemic waves.	2020-12-18 00:00:00	sars-cov-2 gamma variant
4	pmid33925854	Mutation Signatures and In Silico Docking of Novel SARS-CoV-2 Variants of Concern.	2021-04-21 00:00:00	sars-cov-2 gamma variant
34	2021.06.28.450214	A bifluorescent-based assay for the identification of neutralizing antibodies against SARS-CoV-2 variants of concern in vitro and in vivo	2021-06-28 00:00:00	sars-cov-2 beta variant
45	pmid33524124	Dysregulated innate and adaptive immune responses discriminate disease severity in COVID-19.	2021-02-01 00:00:00	sars-cov-2 gamma variant
68	2020.08.30.20183889	Viral shedding dynamics reveals sputum as a reliable and cost-saving specimen for SARS-CoV-2 diagnosis within the first 10 days since symptom onset: A prospective cohort study	2020-09-01 00:00:00	sars-cov-2 kappa variant
35	pmid33734044	Hydroxychloroquine in patients with novel coronavirus infection (COVID-19): a case-control study.	2021-03-19 00:00:00	sars-cov-2 delta variant
48	pmid34228301	Interferons and Multiple Sclerosis: Lessons from 25 Years of Clinical and Real-World Experience with Intramuscular Interferon Beta-1a (Avonex).	2021-07-08 00:00:00	sars-cov-2 beta variant
52	2021.04.13.21255439	Proteomic Profiling of MIS-C Patients Reveals Heterogeneity Relating to Interferon Gamma Dysregulation and Vascular Endothelial Dysfunction	2021-04-20 00:00:00	sars-cov-2 gamma variant
62	pmid32852513	Military Teleophthalmology in Afghanistan Using Mobile Phone Application.	2020-11-03 00:00:00	sars-cov-2 beta variant
68	pmid32411770	Clinical characteristics of 60 discharged cases of 2019 novel coronavirus-infected pneumonia in Taizhou, China.	2020-09-28 00:00:00	sars-cov-2 gamma variant
95	2020.06.23.167072	Molecular features similarities between SARS-CoV-2, SARS, MERS and key human genes could favour the viral infections and trigger collateral effects	2020-06-25 00:00:00	sars-cov-2 beta variant
5	pmid32732190	Drug treatments for covid-19: living systematic review and network meta-analysis.	2020-12-21 00:00:00	sars-cov-2 beta variant
36	pmid32685628	Haematological and immunological data of Chinese children infected with coronavirus disease 2019.	2020-06-25 00:00:00	sars-cov-2 gamma variant
29	pmid33123144	SARS-CoV-2: Pathogenesis, and Advancements in Diagnostics and Treatment.	2020-11-09 00:00:00	sars-cov-2 beta variant
42	pmid32566556	Efficacy and safety of antibiotic agents in children with COVID-19: a rapid review.	2020-09-28 00:00:00	sars-cov-2 beta variant
73	2020.06.29.178343	Structure of the full SARS-CoV-2 RNA genome in infected cells	2020-06-30 00:00:00	sars-cov-2 beta variant
46	pmid32360286	Plasma IP-10 and MCP-3 levels are highly associated with disease severity and predict the progression of COVID-19.	2020-04-22 00:00:00	sars-cov-2 gamma variant
87	2021.03.09.21252450	Rapid screening for SARS-CoV-2 variants of concern in clinical and environmental samples using nested RT-PCR assays targeting key mutations of the Spike protein	2021-03-12 00:00:00	sars-cov-2 gamma variant
2	pmid34130618	Transfusion-dependent beta thalassemia in Afghanistan: current evidence amid COVID-19 and future recommendations.	2021-06-21 00:00:00	sars-cov-2 beta variant
11	2020.10.02.324046	Safe and effective two-in-one replicon-and-VLP minispike vaccine for COVID-19	2020-10-02 00:00:00	sars-cov-2 delta variant
