	_id	topicCategory
0	pmid32796759	Behavioral Research
1	pmid33560208	Behavioral Research
2	pmid33271480	Behavioral Research
3	pmid33673812	Behavioral Research
4	pmid33378904	Behavioral Research
5	pmid32669049	Behavioral Research
6	pmid32802967	Behavioral Research
7	pmid33772687	Behavioral Research
8	pmid33633094	Behavioral Research
9	pmid33332911	Behavioral Research
10	pmid32226353	Behavioral Research
11	pmid33520614	Behavioral Research
12	pmid33323388	Behavioral Research
13	pmid33782888	Behavioral Research
14	pmid33094261	Behavioral Research
15	pmid33634260	Behavioral Research
16	pmid32845013	Behavioral Research
17	pmid32487009	Behavioral Research
18	pmid32928812	Behavioral Research
19	pmid32773863	Behavioral Research
20	pmid32537687	Behavioral Research
21	pmid33098579	Behavioral Research
22	pmid33635926	Behavioral Research
23	pmid33198533	Behavioral Research
24	pmid33208115	Behavioral Research
25	pmid32405218	Behavioral Research
26	pmid32353696	Behavioral Research
27	pmid32792139	Behavioral Research
28	pmid33100659	Behavioral Research
29	pmid33249904	Behavioral Research
30	pmid33801740	Behavioral Research
31	pmid33327407	Behavioral Research
32	pmid32525529	Behavioral Research
33	pmid33514351	Behavioral Research
34	pmid32623481	Behavioral Research
35	pmid33783396	Behavioral Research
36	pmid32776309	Behavioral Research
37	pmid32544708	Behavioral Research
38	pmid33629467	Behavioral Research
39	pmid33603679	Behavioral Research
40	pmid32536736	Behavioral Research
41	pmid32884965	Behavioral Research
42	pmid33260696	Behavioral Research
43	pmid32373997	Behavioral Research
44	pmid32278890	Behavioral Research
45	pmid33596273	Behavioral Research
46	pmid32674827	Behavioral Research
47	pmid33491106	Behavioral Research
48	pmid32425276	Behavioral Research
49	pmid33084359	Behavioral Research
50	pmid32603253	Behavioral Research
51	pmid33429890	Behavioral Research
52	pmid32729312	Behavioral Research
53	pmid32592670	Behavioral Research
54	pmid32795425	Behavioral Research
55	pmid32758924	Behavioral Research
56	pmid32876252	Behavioral Research
57	pmid33014955	Behavioral Research
58	pmid32629424	Behavioral Research
59	pmid33786000	Behavioral Research
60	pmid33687809	Behavioral Research
61	pmid32698923	Behavioral Research
62	pmid33062742	Behavioral Research
63	pmid33192723	Behavioral Research
64	pmid32895636	Behavioral Research
65	pmid32404632	Behavioral Research
66	pmid32809220	Behavioral Research
67	pmid32955107	Behavioral Research
68	pmid33410229	Behavioral Research
69	pmid33430776	Behavioral Research
70	pmid33289930	Behavioral Research
71	pmid33375928	Behavioral Research
72	pmid32391985	Behavioral Research
73	pmid32670100	Behavioral Research
74	pmid33599180	Behavioral Research
75	pmid33211442	Behavioral Research
76	pmid32967647	Behavioral Research
77	pmid32796139	Behavioral Research
78	pmid33012116	Behavioral Research
79	pmid33502497	Behavioral Research
80	pmid32674701	Behavioral Research
81	pmid33217004	Behavioral Research
82	pmid33509913	Behavioral Research
83	pmid32418794	Behavioral Research
84	pmid32400874	Behavioral Research
85	pmid33769331	Behavioral Research
86	pmid32663933	Behavioral Research
87	pmid33243029	Behavioral Research
88	pmid33681045	Behavioral Research
89	pmid33065831	Behavioral Research
90	pmid33554191	Behavioral Research
91	pmid32404623	Behavioral Research
92	pmid32461625	Behavioral Research
93	pmid33693278	Behavioral Research
94	pmid33777688	Behavioral Research
95	pmid32682354	Behavioral Research
96	pmid32621371	Behavioral Research
97	pmid33633904	Behavioral Research
98	pmid33789578	Behavioral Research
99	pmid32809853	Behavioral Research
100	pmid33820583	Behavioral Research
101	pmid32947759	Behavioral Research
102	pmid32777361	Behavioral Research
103	pmid32259124	Behavioral Research
104	pmid33374537	Behavioral Research
105	pmid32849157	Behavioral Research
106	pmid32388326	Behavioral Research
107	pmid33723959	Behavioral Research
108	pmid33402273	Behavioral Research
109	pmid33239877	Behavioral Research
110	pmid32637383	Behavioral Research
111	pmid32931444	Behavioral Research
112	pmid33249392	Behavioral Research
113	pmid33749537	Behavioral Research
114	pmid33605055	Behavioral Research
115	pmid33317765	Behavioral Research
116	pmid33759447	Behavioral Research
117	pmid33454941	Behavioral Research
118	pmid33518518	Behavioral Research
119	pmid33405302	Behavioral Research
120	pmid32654438	Behavioral Research
121	pmid33776866	Behavioral Research
122	pmid33362660	Behavioral Research
123	pmid33531814	Behavioral Research
124	pmid32995388	Behavioral Research
125	pmid32401942	Behavioral Research
126	pmid32944509	Behavioral Research
127	pmid33590283	Behavioral Research
128	pmid33041725	Behavioral Research
129	pmid33224309	Behavioral Research
130	pmid33765132	Behavioral Research
131	pmid33106227	Behavioral Research
132	pmid32601024	Behavioral Research
133	pmid32742639	Behavioral Research
134	pmid33016177	Behavioral Research
135	pmid32725176	Behavioral Research
136	pmid33333160	Behavioral Research
137	pmid32836482	Behavioral Research
138	pmid33449443	Behavioral Research
139	pmid32801548	Behavioral Research
140	pmid32953435	Behavioral Research
141	pmid32658826	Behavioral Research
142	pmid32494836	Behavioral Research
143	pmid33830270	Behavioral Research
144	pmid32909299	Behavioral Research
145	pmid33187368	Behavioral Research
146	pmid33299071	Behavioral Research
147	pmid33370763	Behavioral Research
148	pmid32654021	Behavioral Research
149	pmid33567926	Behavioral Research
150	pmid33408665	Behavioral Research
151	pmid32732196	Behavioral Research
152	pmid33050004	Behavioral Research
153	pmid32684645	Behavioral Research
154	pmid32688023	Behavioral Research
155	pmid32841113	Behavioral Research
156	pmid32730611	Behavioral Research
157	pmid32879836	Behavioral Research
158	pmid33317615	Behavioral Research
159	pmid32878506	Behavioral Research
160	pmid32889676	Behavioral Research
161	pmid32498401	Behavioral Research
162	pmid33708148	Behavioral Research
163	pmid33690699	Behavioral Research
164	pmid32393381	Behavioral Research
165	pmid33661693	Behavioral Research
166	pmid33571791	Behavioral Research
167	pmid32371560	Behavioral Research
168	pmid33158913	Behavioral Research
169	pmid33295960	Behavioral Research
170	pmid33329125	Behavioral Research
171	pmid33658873	Behavioral Research
172	pmid33552070	Behavioral Research
173	pmid33125198	Behavioral Research
174	pmid33115606	Behavioral Research
175	pmid33144209	Behavioral Research
176	pmid33001378	Behavioral Research
177	pmid32772434	Behavioral Research
178	pmid32900525	Behavioral Research
179	pmid33467869	Behavioral Research
